Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Mohamed Touré,2(1),170,-,0.3,0.3,-,0.3,-,-,-,7.78
Divine Mukasa,2(1),167,1.3,-,1.3,-,0.3,0.3,-,-,7.67
Eiran Cashin,7,630,4.6,1.9,1.4,-,6.1,1.1,1,1,7.58
Jonathan Panzo,1,90,2,2,1,1,14,-,1,-,7.53
Bilal El Khannouss,2,136,1,1.5,-,-,-,1,-,-,7.52
Ebou Adams,7(1),658,3.1,1,1.4,-,2.8,1,0.5,-,7.34
Lloyd Jones,33,2920,0.9,1.4,1.4,0.4,10.2,0.2,1.3,-,7.3
Femi Azeez,20(2),1685,1.4,0.4,1.5,-,0.7,0.5,0.2,-,7.26
Kai Wagner,8,701,2.3,1.1,0.9,-,2.9,0.3,0.1,-,7.26
Lyndon Dykes,7(1),667,0.9,0.3,1.3,-,2.4,0.1,0.4,-,7.24
Imrân Louza,29,2510,1.4,1,1.2,-,0.7,0.9,0.3,-,7.22
Caleb Taylor,18(4),1703,1.1,1.8,0.5,0.3,5.5,0.5,0.6,-,7.21
Léo Scienza,23(4),1795,0.6,0.1,0.4,-,0.4,0.4,-,-,7.21
Christoph Klarer,30,2700,1,1.5,0.9,0.8,7.5,0.3,0.4,-,7.2
Oliver McBurnie,19(4),1723,0.9,0.3,1.3,-,2,0.4,0.3,-,7.19
Torbjørn Heggem,1,90,-,2,-,-,12,1,-,-,7.19
Carlton Morris,16(2),1379,0.7,-,1.1,-,1.6,0.1,0.2,-,7.19
Adilson Malanda,8,715,1,1,0.5,0.4,5.5,0.1,1.3,-,7.19
Bobby Thomas,26,2302,1,0.9,0.9,1.2,5.9,0.5,0.8,1,7.18
Charlie Hughes,28(1),2565,1.3,1,1,0.6,7.8,0.2,1.8,-,7.17
Finn Azaz,1(1),93,0.5,1,-,-,0.5,-,-,-,7.17
Rob Atkinson,22(2),1807,1.5,1.1,0.2,0.5,5.3,0.3,0.5,-,7.16
Anis Ben Slimane,7(2),580,1.9,0.7,0.8,-,0.2,0.4,0.1,-,7.16
Jimmy Dunne,31,2762,1.4,0.8,0.8,0.3,6.4,0.5,0.7,-,7.15
Tristan Crama,33,2937,1.9,1.5,1.3,0.3,5.7,0.6,0.6,-,7.14
Frank Onyeka,2,161,2,1.5,2,-,2.5,0.5,1.5,-,7.14
Kieffer Moore,27(3),2341,0.5,0.2,1.5,-,1.7,0.4,0.1,-,7.13
Ciaron Brown,24,2151,0.9,1.5,0.5,0.6,8.8,0.2,1,-,7.13
Jannik Vestergaard,24,2133,1.5,0.9,0.5,0.7,8.5,0.3,0.5,-,7.13
Taylor Harwood-Bellis,28,2520,0.9,0.9,0.9,0.4,7.8,0.3,0.8,1,7.13
Victor Torp,22(5),1926,1,0.8,0.9,-,1,0.6,0.3,-,7.12
Joe Gelhardt,22(3),1864,1.2,0.5,0.7,-,0.6,0.8,-,-,7.12
Jake Cooper,32,2880,0.9,0.8,1.2,0.4,7.6,0.3,0.7,1,7.11
Sean McLoughlin,31,2741,1.5,1.8,0.6,0.5,7.3,0.5,0.9,-,7.1
Sam McCallum,15(5),1210,1.3,1.4,0.3,0.1,2.7,0.4,0.5,-,7.1
Liam Kitching,29,2573,1.1,0.9,1,1.2,6.6,0.2,0.7,-,7.1
Jordan Storey,32,2818,1.3,1.6,0.7,0.9,6.8,0.3,0.6,-,7.09
Anis Mehmeti,28,2348,1.4,0.2,1.2,-,0.5,1,0.1,-,7.09
Abdul Fatawu,32,2715,1,0.6,1.2,-,1.4,0.5,0.1,-,7.09
Rob Dickie,29(1),2581,1,1.4,0.5,0.5,8,0.4,1,-,7.08
Hayden Hackney,33,2892,1.8,0.6,1.5,-,0.8,1,0.1,-,7.08
Josh Vickers,3,270,-,-,-,-,0.3,-,-,-,7.06
Brandon Thomas-Asante,16(5),1369,0.6,0.7,0.8,-,0.5,0.5,0.1,-,7.06
Cameron Burgess,33,2970,1.1,1.4,0.3,0.5,8.5,0.2,0.9,3,7.05
Stephen Mfuni,4,316,3.3,0.8,0.8,-,5,-,-,-,7.04
Callum Elder,25(2),2149,1.9,0.9,1,0.1,3.5,0.5,0.3,-,7.04
Matt Clarke,32,2875,1.8,1.4,1,0.3,8.4,0.5,1.1,1,7.03
Matt Grimes,33,2959,1.8,0.8,0.5,0.1,1.4,0.7,0.4,-,7.03
Jeremy Ngakia,26(2),2297,3.6,1.1,0.9,0.3,3,0.9,0.2,-,7.03
Jacob Greaves,12(1),1002,0.9,0.8,0.6,-,5.7,0.2,0.3,-,7.01
Conor Shaughnessy,8(1),680,0.6,0.9,0.4,0.6,6.7,0.1,0.8,-,7
Benjamin Whiteman,32,2832,1.8,1.2,1.2,0.1,3.3,0.7,1,1,7
Ross McCrorie,25(4),2105,1.9,0.8,1.6,0.1,2.3,0.7,0.1,-,7
Todd Cantwell,18(2),1661,1.7,1,1,-,0.4,1.2,-,-,6.99
Michal Helik,30(1),2659,1.2,1.6,0.9,0.6,7.9,0.3,1.1,-,6.99
Nicolas Madsen,31(2),2764,1.7,1,0.3,-,1.7,0.4,0.5,-,6.98
Viktor Johansson,24,2160,0.1,-,-,-,1.7,-,-,-,6.97
Dael Fry,12(6),1109,0.7,0.5,0.3,0.7,5.1,0.1,1.2,-,6.97
Tayo Adaramola,3,248,3.3,-,0.3,0.3,3.3,0.3,-,-,6.97
Ilias Chair,9(2),808,1.1,0.3,0.4,0.1,0.5,1.4,-,-,6.97
Callum Brittain,28,2452,1.6,1.2,0.9,0.1,2.8,0.6,0.1,-,6.97
Ali Ahmed,6(1),451,1,1,0.7,-,0.9,1.1,0.1,-,6.96
Ryan Manning,23(7),2171,1.2,0.9,0.7,0.1,2,0.2,0.3,-,6.96
Matt Crooks,18(2),1641,2.1,0.8,2.2,-,1.7,0.9,0.3,-,6.96
Jaden Philogene,19(6),1551,1.1,0.8,0.7,-,0.5,0.9,-,-,6.96
Nathaniel Phillips,31,2658,1.4,1.3,0.7,0.5,6.9,0.5,0.8,1,6.96
Joe Ward,20(5),1805,1.4,0.8,0.2,-,2.3,0.6,0.3,-,6.95
Sondre Langås,18(1),1658,1.4,1.2,0.5,0.3,5.9,0.4,0.5,-,6.95
Lewis Baker,11(1),998,0.9,0.6,1.1,0.1,1.2,0.9,0.1,-,6.95
Japhet Tanganga,27,2387,1.1,1.4,1.2,0.5,6.4,0.3,0.9,1,6.95
Ben Cabango,32,2865,1.8,1.1,0.6,0.7,6.8,0.7,0.6,-,6.94
Othmane Maamma,18(2),1360,1.8,0.7,0.7,0.1,0.4,0.6,0.1,-,6.94
Brian De Keersmaecker,25(1),2248,2,1.2,0.7,-,1.8,0.7,0.4,-,6.94
Cédric Kipré,22,1946,1.1,1,0.5,0.7,5.4,0.3,0.6,1,6.94
Morgan Whittaker,29(3),2292,1.3,0.2,0.8,-,0.1,0.7,-,-,6.93
Ephron Mason-Clark,25(4),2086,1.1,0.1,1.8,-,0.3,0.5,-,-,6.93
Haji Wright,23(6),1958,0.3,-,0.9,-,0.8,0.1,0.1,-,6.92
Hayden Carter,5,398,0.8,1,1,0.2,6.8,0.4,0.6,-,6.91
Scott Wharton,7(2),672,0.9,1.4,0.7,0.8,5.6,0.2,0.7,-,6.91
Milan van Ewijk,31,2728,2.2,1.3,0.9,0.5,2.5,0.7,0.2,-,6.91
Murphy Cooper,7,630,0.3,0.1,-,-,1.1,-,-,-,6.9
Ben Gibson,2(2),249,1.3,1.5,0.5,0.8,3.3,-,1.3,-,6.9
Femi Seriki,20(7),1859,2.2,0.7,0.7,0.3,1.6,0.6,0.1,-,6.9
Dara O'Shea,31,2790,0.5,0.8,0.4,0.5,5.9,0.3,1,-,6.9
Mattie Pollock,22(2),1974,0.9,0.9,0.7,0.4,6.6,0.3,0.7,-,6.89
Josh Tymon,31(1),2821,1.1,1.3,0.4,0.2,2.1,0.4,0.1,-,6.89
Ruairi McConville,19(1),1719,1.2,0.8,0.5,0.8,6,0.3,0.7,-,6.89
Ben Mee,14(1),1249,0.5,0.9,0.3,0.5,7.3,0.1,0.4,-,6.88
Kenny McLean,29(1),2541,1.9,0.8,0.6,-,1.7,0.9,0.4,-,6.88
Tyler Bindon,15(1),1342,1.2,1.3,1.1,0.8,7.1,0.4,0.5,1,6.88
Lewis Gibson,19,1654,1.1,1.2,0.5,0.9,6.2,0.5,0.9,-,6.88
James Bree,19(2),1676,1.3,0.7,1,-,1.8,0.4,0.2,-,6.88
Matt Targett,28(2),2417,1.3,1.1,0.6,0.3,2,0.5,0.2,-,6.88
Marcelino Núñez,15(9),1433,0.9,0.3,0.9,-,0.4,0.5,-,-,6.87
Jayden Fevrier,0(2),70,1,-,-,-,-,-,-,-,6.87
Luke Ayling,26(4),2400,1.9,1,0.6,0.5,2.3,0.5,0.6,-,6.87
Neto Borges,19(7),1693,1.7,1.4,0.8,0.2,2.4,0.5,0.3,-,6.87
Phil Neumann,26,2277,1.1,0.8,1,0.7,6.5,0.2,0.8,1,6.87
