Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Mohamed Touré,2(1),170,4,1,3.7,0.7,1.3,0.7,1.3,0.3,2.3,7.78
Divine Mukasa,2(1),167,2,2,1.3,3.3,0.3,-,-,1,2,7.67
Eiran Cashin,7,630,1,1,0.4,0.4,0.3,-,-,0.4,0.7,7.58
Jonathan Panzo,1,90,-,-,-,-,-,-,-,-,1,7.53
Bilal El Khannouss,2,136,-,2,2.5,3,1.5,0.5,-,2,0.5,7.52
Ebou Adams,7(1),658,2,1,1.5,0.6,0.4,2.9,-,1.3,1.6,7.34
Lloyd Jones,33,2920,1,-,0.9,0.3,-,1,0.1,0.2,0.4,7.3
Femi Azeez,20(2),1685,7,4,2.6,1.8,1.5,0.7,0.8,0.9,2.5,7.26
Kai Wagner,8,701,-,1,0.3,2.3,0.4,1,-,0.5,0.9,7.26
Lyndon Dykes,7(1),667,1,3,1.9,0.9,0.3,1.3,0.1,1,2.1,7.24
Imrân Louza,29,2510,6,7,2.2,2.1,0.9,1,-,1.1,1.7,7.22
Caleb Taylor,18(4),1703,3,2,1.3,0.2,0.2,0.3,-,-,1,7.21
Léo Scienza,23(4),1795,5,7,2.4,1.7,1.7,3,-,1.4,2.6,7.21
Christoph Klarer,30,2700,2,-,0.6,0.2,0.2,0.8,0.1,0.2,0.3,7.2
Oliver McBurnie,19(4),1723,12,5,1.8,1.1,0.4,1,0.2,1.1,2.4,7.19
Torbjørn Heggem,1,90,-,-,-,-,-,1,-,-,1,7.19
Carlton Morris,16(2),1379,10,-,1.6,0.7,0.3,1.2,0.1,1.1,2.3,7.19
Adilson Malanda,8,715,-,-,0.3,0.6,0.1,0.3,-,0.3,0.4,7.19
Bobby Thomas,26,2302,2,4,1.1,0.8,0.2,0.8,0.2,0.2,0.7,7.18
Charlie Hughes,28(1),2565,1,1,0.5,0.3,0.3,0.7,-,0.4,0.8,7.17
Finn Azaz,1(1),93,1,1,1.5,1,-,-,-,2,0.5,7.17
Rob Atkinson,22(2),1807,3,1,0.3,0.5,0.1,1,-,0.1,0.5,7.16
Anis Ben Slimane,7(2),580,4,1,1.1,1.1,1,0.4,-,1.2,3,7.16
Jimmy Dunne,31,2762,3,3,0.7,0.5,0.2,0.6,0.1,0.4,0.8,7.15
Tristan Crama,33,2937,2,2,0.8,0.8,0.4,0.5,0.1,0.6,1.5,7.14
Frank Onyeka,2,161,-,-,0.5,0.5,1,2.5,-,0.5,2,7.14
Kieffer Moore,27(3),2341,11,3,2.3,0.8,0.4,1.3,0.5,1.1,3.3,7.13
Ciaron Brown,24,2151,1,1,0.7,0.4,-,0.9,-,0.3,0.6,7.13
Jannik Vestergaard,24,2133,3,-,0.7,0.1,0.3,0.8,-,0.1,0.4,7.13
Taylor Harwood-Bellis,28,2520,4,1,1,0.7,0.1,1.1,-,0.3,0.7,7.13
Victor Torp,22(5),1926,7,4,2.4,1.6,0.6,1,0.1,0.5,1,7.12
Joe Gelhardt,22(3),1864,11,3,2.4,0.9,1.4,1.6,-,1,1.8,7.12
Jake Cooper,32,2880,2,1,0.8,0.6,-,0.8,0.2,0.2,0.6,7.11
Sean McLoughlin,31,2741,-,-,0.7,0.2,0.3,0.5,-,0.2,0.6,7.1
Sam McCallum,15(5),1210,1,1,0.9,1.4,0.3,1.2,0.1,0.2,0.7,7.1
