Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Mohamed Touré,2(1),170,1,0.7,8.3,76,-,-,-,7.78
Divine Mukasa,2(1),167,2,3.3,29.7,76.4,0.7,1.3,-,7.67
Eiran Cashin,7,630,1,0.4,50.9,69.9,0.3,2.4,-,7.58
Jonathan Panzo,1,90,-,-,38,94.7,-,3,-,7.53
Bilal El Khannouss,2,136,2,3,39,82.1,1.5,1,-,7.52
Ebou Adams,7(1),658,1,0.6,28.6,77.7,-,1.3,-,7.34
Lloyd Jones,33,2920,-,0.3,37.2,75.2,-,1.8,-,7.3
Femi Azeez,20(2),1685,4,1.8,17.5,61.4,1.9,0.5,-,7.26
Kai Wagner,8,701,1,2.3,47.8,73.8,3,2.8,0.1,7.26
Lyndon Dykes,7(1),667,3,0.9,18.5,50.7,0.1,-,-,7.24
Imrân Louza,29,2510,7,2.1,61.6,87.2,1.6,3.4,0.1,7.22
Caleb Taylor,18(4),1703,2,0.2,31.9,78.1,-,1.8,-,7.21
Léo Scienza,23(4),1795,7,1.7,23.9,81.1,1.3,0.6,0.1,7.21
Christoph Klarer,30,2700,-,0.2,68.1,86.8,-,2.4,-,7.2
Oliver McBurnie,19(4),1723,5,1.1,15.9,66.1,-,0.4,-,7.19
Torbjørn Heggem,1,90,-,-,36,94.4,-,-,-,7.19
Carlton Morris,16(2),1379,-,0.7,21.2,68.1,0.1,0.6,-,7.19
Adilson Malanda,8,715,-,0.6,64.8,87.6,0.1,2.3,0.1,7.19
Bobby Thomas,26,2302,4,0.8,52.1,80.1,-,2.4,-,7.18
Charlie Hughes,28(1),2565,1,0.3,47.8,84.5,-,4,-,7.17
Finn Azaz,1(1),93,1,1,15.5,61.3,-,-,0.5,7.17
Rob Atkinson,22(2),1807,1,0.5,36.5,82.5,-,1,-,7.16
Anis Ben Slimane,7(2),580,1,1.1,25.9,76,-,0.7,0.1,7.16
Jimmy Dunne,31,2762,3,0.5,42.8,77.8,0.3,2.7,-,7.15
Tristan Crama,33,2937,2,0.8,33.6,70,0.7,1.7,-,7.14
Frank Onyeka,2,161,-,0.5,28.5,71.9,-,0.5,-,7.14
Kieffer Moore,27(3),2341,3,0.8,20.1,54.7,0.1,0.6,-,7.13
Ciaron Brown,24,2151,1,0.4,35.7,76,-,1.6,-,7.13
Jannik Vestergaard,24,2133,-,0.1,61.5,87.6,-,2.8,-,7.13
Taylor Harwood-Bellis,28,2520,1,0.7,70.1,84.5,0.1,4.7,0.1,7.13
Victor Torp,22(5),1926,4,1.6,29.5,83.2,0.8,0.9,-,7.12
Joe Gelhardt,22(3),1864,3,0.9,21.5,73,0.6,0.8,0.1,7.12
Jake Cooper,32,2880,1,0.6,46,74.8,0.2,3.8,-,7.11
Sean McLoughlin,31,2741,-,0.2,45.2,76.5,0.1,2.8,-,7.1
Sam McCallum,15(5),1210,1,1.4,25.6,66.8,1.3,2.1,0.1,7.1
Liam Kitching,29,2573,-,0.5,52.3,83.4,0.1,2.7,-,7.1
Jordan Storey,32,2818,2,0.2,36.3,73.1,-,1.6,-,7.09
Anis Mehmeti,28,2348,6,1.7,22.7,76.4,0.9,0.9,0.1,7.09
Abdul Fatawu,32,2715,7,1.1,23.6,70,0.8,1,0.1,7.09
Rob Dickie,29(1),2581,-,0.3,51.5,85,-,2.1,-,7.08
Hayden Hackney,33,2892,5,2.1,63.6,86.3,0.9,1.9,0.1,7.08
Josh Vickers,3,270,-,-,30.3,61.5,-,8,-,7.06
Brandon Thomas-Asante,16(5),1369,4,0.8,12.5,70.7,0.1,0.2,-,7.06
Cameron Burgess,33,2970,-,0.3,68.3,81.5,-,4.2,-,7.05
Stephen Mfuni,4,316,-,0.3,34.8,83.5,-,1.5,-,7.04
Callum Elder,25(2),2149,5,1.4,28.1,66.9,1.8,1.4,-,7.04
Matt Clarke,32,2875,2,0.3,43.4,78.1,0.1,3.3,-,7.03
Matt Grimes,33,2959,2,1.9,69.4,86.9,2,3.3,0.1,7.03
Jeremy Ngakia,26(2),2297,4,0.9,39,76.1,0.6,2.1,-,7.03
Jacob Greaves,12(1),1002,-,0.6,48.1,86.6,0.1,1.5,-,7.01
Conor Shaughnessy,8(1),680,-,0.1,42,81.2,0.1,1.9,-,7
Benjamin Whiteman,32,2832,4,1.6,46.5,76.6,1.3,3.3,0.1,7
Ross McCrorie,25(4),2105,6,0.9,22.4,70.2,0.6,0.4,-,7
Todd Cantwell,18(2),1661,3,1.5,46.9,81.8,1.7,2.5,0.1,6.99
Michal Helik,30(1),2659,2,0.4,31.8,76.2,-,1.5,-,6.99
Nicolas Madsen,31(2),2764,6,1.6,41.1,80.7,1.1,2.2,0.1,6.98
Viktor Johansson,24,2160,1,0.1,36.8,70,-,7.6,-,6.97
Dael Fry,12(6),1109,-,0.3,34.8,90.4,-,1.5,-,6.97
Tayo Adaramola,3,248,1,0.7,16,58.3,0.3,-,-,6.97
